track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy
P4,861,86100,pedestrian/bicycle,1036.139,971.298,1.256,0.853
P4,862,86200,pedestrian/bicycle,1036.27,971.381,1.354,0.796
P4,863,86300,pedestrian/bicycle,1036.41,971.457,1.447,0.737
P4,864,86400,pedestrian/bicycle,1036.559,971.528,1.528,0.677
P4,865,86500,pedestrian/bicycle,1036.714,971.593,1.584,0.622
P4,866,86600,pedestrian/bicycle,1036.874,971.653,1.608,0.572
P4,867,86700,pedestrian/bicycle,1037.034,971.708,1.602,0.531
P4,868,86800,pedestrian/bicycle,1037.193,971.759,1.574,0.497
P4,869,86900,pedestrian/bicycle,1037.349,971.808,1.536,0.468
P4,870,87000,pedestrian/bicycle,1037.5,971.853,1.498,0.438
P4,871,87100,pedestrian/bicycle,1037.648,971.895,1.466,0.404
P4,872,87200,pedestrian/bicycle,1037.794,971.934,1.444,0.366
P4,873,87300,pedestrian/bicycle,1037.938,971.968,1.435,0.328
P4,874,87400,pedestrian/bicycle,1038.082,971.999,1.44,0.291
P4,875,87500,pedestrian/bicycle,1038.226,972.027,1.456,0.257
P4,876,87600,pedestrian/bicycle,1038.373,972.051,1.478,0.227
P4,877,87700,pedestrian/bicycle,1038.522,972.072,1.506,0.203
P4,878,87800,pedestrian/bicycle,1038.675,972.092,1.539,0.184
P4,879,87900,pedestrian/bicycle,1038.83,972.109,1.575,0.171
P4,880,88000,pedestrian/bicycle,1038.989,972.126,1.607,0.162
P4,881,88100,pedestrian/bicycle,1039.151,972.142,1.625,0.154
P4,882,88200,pedestrian/bicycle,1039.314,972.157,1.633,0.148
P4,883,88300,pedestrian/bicycle,1039.477,972.171,1.637,0.138
P4,884,88400,pedestrian/bicycle,1039.641,972.185,1.637,0.128
P4,885,88500,pedestrian/bicycle,1039.804,972.197,1.631,0.117
P4,886,88600,pedestrian/bicycle,1039.967,972.208,1.621,0.106
P4,887,88700,pedestrian/bicycle,1040.129,972.218,1.612,0.092
P4,888,88800,pedestrian/bicycle,1040.29,972.226,1.605,0.08
P4,889,88900,pedestrian/bicycle,1040.45,972.234,1.605,0.07
P4,890,89000,pedestrian/bicycle,1040.611,972.241,1.608,0.061
P4,891,89100,pedestrian/bicycle,1040.771,972.246,1.606,0.054
P4,892,89200,pedestrian/bicycle,1040.931,972.251,1.596,0.049
P4,893,89300,pedestrian/bicycle,1041.09,972.256,1.583,0.042
P4,894,89400,pedestrian/bicycle,1041.248,972.26,1.577,0.032
P4,895,89500,pedestrian/bicycle,1041.407,972.262,1.587,0.016
P4,896,89600,pedestrian/bicycle,1041.566,972.263,1.601,-0.001
P4,897,89700,pedestrian/bicycle,1041.727,972.262,1.609,-0.013
P4,898,89800,pedestrian/bicycle,1041.888,972.261,1.613,-0.02
P4,899,89900,pedestrian/bicycle,1042.049,972.259,1.62,-0.021
P4,900,90000,pedestrian/bicycle,1042.212,972.257,1.627,-0.017
P4,901,90100,pedestrian/bicycle,1042.374,972.255,1.63,-0.01
P4,902,90200,pedestrian/bicycle,1042.537,972.255,1.627,-0.001
P4,903,90300,pedestrian/bicycle,1042.7,972.255,1.619,0.009
P4,904,90400,pedestrian/bicycle,1042.861,972.257,1.609,0.02
P4,905,90500,pedestrian/bicycle,1043.021,972.259,1.601,0.031
P4,906,90600,pedestrian/bicycle,1043.181,972.263,1.596,0.041
P4,907,90700,pedestrian/bicycle,1043.341,972.267,1.592,0.05
P4,908,90800,pedestrian/bicycle,1043.5,972.273,1.585,0.058
P4,909,90900,pedestrian/bicycle,1043.658,972.279,1.579,0.065
P4,910,91000,pedestrian/bicycle,1043.816,972.286,1.577,0.07
P4,911,91100,pedestrian/bicycle,1043.973,972.293,1.579,0.076
P4,912,91200,pedestrian/bicycle,1044.132,972.301,1.585,0.082
P4,913,91300,pedestrian/bicycle,1044.29,972.309,1.587,0.086
P4,914,91400,pedestrian/bicycle,1044.449,972.318,1.587,0.088
P4,915,91500,pedestrian/bicycle,1044.608,972.327,1.591,0.086
P4,916,91600,pedestrian/bicycle,1044.767,972.335,1.6,0.083
P4,917,91700,pedestrian/bicycle,1044.928,972.343,1.607,0.078
P4,918,91800,pedestrian/bicycle,1045.088,972.351,1.605,0.076
P4,919,91900,pedestrian/bicycle,1045.248,972.359,1.594,0.077
P4,920,92000,pedestrian/bicycle,1045.407,972.366,1.58,0.079
P4,921,92100,pedestrian/bicycle,1045.564,972.374,1.57,0.081
P4,922,92200,pedestrian/bicycle,1045.721,972.383,1.563,0.082
P4,923,92300,pedestrian/bicycle,1045.877,972.391,1.557,0.081
P4,924,92400,pedestrian/bicycle,1046.032,972.399,1.547,0.079
P4,925,92500,pedestrian/bicycle,1046.186,972.406,1.535,0.072
P4,926,92600,pedestrian/bicycle,1046.34,972.413,1.531,0.061
