recordingId,trackId,initialFrame,finalFrame,numFrames,width,length,class
0,0,25218,25715,498,0.8158,1.0443,pedestrian
0,1,25118,25715,598,0.5949,0.8228,pedestrian
0,2,25043,25689,647,0.6776,1.2047,pedestrian
0,3,24090,24378,289,0.8368,1.8363,bicycle
0,4,22960,23209,250,0.8188,1.8237,bicycle
0,5,22423,24299,1877,0.7344,0.9011,pedestrian
0,6,21522,21892,371,0.9077,1.7545,motorcycle
0,7,19645,19880,236,0.8787,2.2510,motorcycle
0,8,17660,18196,537,0.7258,1.5911,bicycle
0,9,17537,17769,233,0.7139,1.5721,bicycle
0,10,16975,18536,1562,0.6379,0.8654,pedestrian
0,11,16961,17458,498,0.8868,2.0866,motorcycle
0,12,15628,16010,383,0.7348,1.8713,bicycle
0,13,13317,13668,352,0.6587,1.5260,bicycle
0,14,12931,13500,570,0.7393,1.7065,bicycle
0,15,10335,11729,1395,0.7492,0.9596,pedestrian
0,16,7836,9969,2134,0.5767,0.7702,pedestrian
0,17,7626,7926,301,0.8251,1.6191,bicycle
0,18,7454,7756,303,0.7667,1.6892,bicycle
0,19,6822,7134,313,0.7589,1.5055,bicycle
0,20,3779,5133,1355,0.6690,0.9760,pedestrian
0,21,2798,3251,454,0.6908,1.5531,bicycle
0,22,1235,1517,283,0.7483,1.5372,bicycle
0,23,0,178,179,0.8995,2.3794,motorcycle
0,24,0,420,421,2.0233,4.0465,car
0,25,0,305,306,1.9403,4.3592,car
0,26,0,350,351,3.2157,17.7394,truck
0,27,30,355,326,2.1232,4.6600,car
0,28,57,584,528,2.0267,3.9255,car
0,29,411,672,262,1.9990,5.1231,car
0,30,439,799,361,2.0157,4.6423,car
0,31,479,895,417,2.1280,4.3587,car
0,32,627,908,282,2.2603,5.5902,van
0,33,752,1020,269,2.0894,5.1160,car
0,34,966,1294,329,2.2509,5.2509,car
0,35,1013,1413,401,1.9791,4.2776,car
0,36,1025,1360,336,2.0140,4.3719,car
0,37,1073,1779,707,2.0707,4.7852,car
0,38,1092,1486,395,2.0573,4.4642,car
0,39,1140,1527,388,2.1306,5.1688,car
0,40,1177,1838,662,2.0345,4.3258,car
0,41,1183,1558,376,2.1655,4.9636,car
0,42,1189,1630,442,1.9801,4.4940,car
0,43,1250,1851,602,1.8779,4.1746,car
0,44,1253,1516,264,2.0311,4.4292,car
0,45,1356,1647,292,2.1636,5.0488,car
0,46,1451,1922,472,2.1073,4.8694,car
0,47,1566,2138,573,2.1867,4.4381,car
0,48,1607,2029,423,2.0429,4.4028,car
0,49,1645,2017,373,2.0917,5.0318,car
0,50,1898,2202,305,1.8447,4.4448,car
0,51,1915,2389,475,2.3664,6.0341,van
0,52,1940,2324,385,2.1100,4.8627,car
0,53,1961,2382,422,2.0378,4.3536,car
0,54,1962,2319,358,2.0813,4.7495,car
0,55,2012,2430,419,2.0316,3.8139,car
0,56,2237,2514,278,1.9932,4.6866,car
0,57,2275,2683,409,2.0788,4.4079,car
0,58,2292,2676,385,2.1760,5.1289,car
0,59,2311,2714,404,2.2358,4.9062,car
0,60,2349,2572,224,2.0486,4.6581,car
0,61,2352,2759,408,1.8542,4.1893,car
0,62,2386,2865,480,2.0765,5.1074,car
0,63,2418,2833,416,2.1760,5.0727,car
0,64,2426,2952,527,2.1392,4.5935,car
0,65,2521,3009,489,2.0213,4.0555,car
0,66,2548,2917,370,1.8638,4.2192,car
0,67,2712,2955,244,2.2422,5.1869,car
0,68,2790,3193,404,1.9386,4.6383,car
0,69,2839,3190,352,2.1321,5.0414,car
0,70,2952,3202,251,2.0434,4.5450,car
0,71,2983,3321,339,2.1028,5.2915,car
0,72,3023,3271,249,2.1607,5.1387,car
0,73,3066,3636,571,3.0616,12.7961,bus
0,74,3098,3372,275,1.9595,4.7338,car
0,75,3108,3465,358,1.9752,4.2238,car
0,76,3246,3620,375,2.2964,5.2241,van
0,77,3263,3798,536,2.2327,4.6604,car
0,78,3390,3767,378,2.1236,4.8947,car
0,79,3429,3818,390,1.9280,3.7124,car
0,80,3508,3912,405,2.0086,4.4347,car
0,81,3642,3989,348,2.3106,7.5221,van
0,82,3704,4032,329,2.1179,4.6141,car
0,83,3738,4044,307,2.1037,4.9539,car
0,84,3917,4232,316,2.1282,4.7601,car
0,85,3944,4168,225,1.9273,4.0985,car
0,86,4005,4260,256,2.1635,5.1473,car
0,87,4089,4377,289,1.7015,2.7337,car
0,88,4153,4420,268,1.9801,5.1010,car
0,89,4319,4634,316,2.4831,6.4442,van
0,90,4452,4776,325,2.0383,5.0079,car
0,91,4508,4823,316,2.4379,7.3831,truck
0,92,4656,4936,281,2.1461,4.3661,car
0,93,4764,5114,351,2.0121,4.5210,car
0,94,4958,5190,233,1.9211,4.7741,car
0,95,5154,5396,243,2.0225,4.6753,car
0,96,5240,5523,284,2.0525,4.6075,car
0,97,5395,5797,403,1.9801,4.3422,car
0,98,5583,5812,230,1.9606,4.2720,car
0,99,5747,6204,458,2.1445,4.7664,car
0,100,5808,6107,300,1.8937,4.0517,car
0,101,5925,6345,421,2.0359,4.6473,car
0,102,6028,6328,301,1.9835,4.7786,car
0,103,6185,6580,396,2.1885,5.0287,car
0,104,6216,6648,433,2.1069,4.6520,car
0,105,6244,6473,230,2.1168,4.8796,car
0,106,6255,6681,427,1.8284,4.2882,car
0,107,6313,6749,437,1.7922,2.8551,car
0,108,6340,6896,557,3.1407,9.4758,truck
0,109,6404,6803,400,1.9887,4.7050,car
0,110,6656,6964,309,2.0053,4.4125,car
0,111,6701,6997,297,2.0283,5.0188,car
0,112,6735,7067,333,2.0307,4.5528,car
0,113,6773,7019,247,1.9979,5.1166,car
0,114,6830,7291,462,2.1247,4.6006,car
0,115,7006,7411,406,2.0280,4.3942,car
0,116,7050,7327,278,1.9762,4.1332,car
0,117,7164,7482,319,2.1804,5.3025,car
0,118,7208,7507,300,1.9551,4.5155,car
0,119,7298,8109,812,2.0827,4.9204,car
0,120,7332,8044,713,3.3219,21.7612,bus
0,121,7417,8440,1024,2.0820,4.6657,car
0,122,7452,8171,720,2.0551,4.9785,car
0,123,7464,8728,1265,2.5114,5.6983,van
0,124,7516,8276,761,2.1223,4.7133,car
0,125,7527,8240,714,2.1061,4.6643,car
0,126,7575,7986,412,2.0755,5.0038,car
0,127,7580,8704,1125,2.0038,4.2553,car
0,128,7624,7966,343,2.1671,5.2612,car
0,129,7698,8752,1055,1.9456,4.7610,car
0,130,7730,8481,752,2.0681,4.4385,car
0,131,7803,8031,229,2.0427,4.5214,car
0,132,7888,8532,645,1.9163,4.3737,car
0,133,8080,8383,304,1.9754,4.4158,car
0,134,8118,8657,540,2.1688,4.9848,car
0,135,8149,8468,320,2.2360,5.2276,van
0,136,8212,8518,307,2.1159,5.2258,car
0,137,8213,8860,648,2.0572,5.1321,car
0,138,8248,8584,337,2.3231,5.4584,car
0,139,8335,8944,610,1.9057,4.3837,car
0,140,8411,8981,571,2.0720,4.4448,car
0,141,8528,9092,565,2.0618,5.2487,car
0,142,8591,9009,419,3.1066,9.5486,truck
0,143,8764,9096,333,2.3455,5.1159,car
0,144,8815,9179,365,1.8414,4.2010,car
0,145,8835,9317,483,2.1347,5.0847,car
0,146,8843,9040,198,1.9595,4.3611,car
0,147,8855,9441,587,1.9709,3.0088,car
0,148,9005,9426,422,2.0483,4.1383,car
0,149,9325,9589,265,2.1864,4.5836,car
0,150,9360,9641,282,1.7875,4.4420,car
0,151,9543,9896,354,2.0475,4.2641,car
0,152,9657,10602,946,3.1318,19.9397,bus
0,153,9781,10085,305,2.9580,12.8565,bus
0,154,9781,10175,395,1.8671,4.2131,car
0,155,9832,10346,515,1.9713,4.6748,car
0,156,9955,10435,481,1.9723,4.6167,car
0,157,10038,10407,370,2.0634,4.8826,car
0,158,10187,10559,373,2.0371,4.3148,car
0,159,10198,10636,439,2.4304,6.1097,van
0,160,10234,10585,352,2.1001,4.3718,car
0,161,10236,10735,500,1.9859,3.2445,car
0,162,10461,10717,257,2.1777,4.6674,car
